Argentina,6.4,6.9,2,935,1,692,0,0,1,700,135
Armenia,2.5,43,1,376,0,0,0,0,1,1000,51
Belgium,45.3,56,7,5728,0,0,0,0,0,0,1079
Brazil,9.9,2.5,2,1901,0,0,1,1245,4,4000,338
Bulgaria,17.3,44,2,1906,0,0,2,1900,0,0,255
Canada*,86.8,15,18,12595,2,1540,2,2000,0,0,1836
China,50.3,2.0,10,7587,5,4170,13,12920,50,35880,1454
Czech Republic,23.3,31,6,3472,0,0,0,0,2,1900,550
Egypt,0,0,0,0,0,0,0,0,1,600,0
Finland,22.3,33,4,2696,1,1600,0,0,0,0,472
France,430.9,79,59,63473,0,0,1,1630,1,1600,10368
Germany,154.6,31,17,20303,0,0,0,0,0,0,3486
Hungary,13.0,37,4,1773,0,0,0,0,0,0,254
India,15.7,2.8,16,3577,7,3178,4,2800,15,11100,491
Indonesia,0,0,0,0,0,0,0,0,4,4000,0
Iran,0,0,0,0,1,915,2,1900,3,2850,143
Israel,0,0,0,0,0,0,0,0,1,1200,0
Japan,280.7,29,55,47700,2,2285,11,14945,1,1100,8872
Kazakhstan,0,0,0,0,0,0,0,0,1,300,0
Korea DPR (North),0,0,0,0,0,0,1,950,0,0,0
Korea RO (South),139.3,45,20,17533,1,950,7,8250,0,0,3037
Lithuania,10.3,70,1,1185,0,0,0,0,1,1000,134
Mexico,10.8,5.0,2,1310,0,0,0,0,2,2000,257
Netherlands,3.8,3.9,1,485,0,0,0,0,0,0,112
Pakistan,1.9,2.8,2,400,1,300,2,600,2,2000,64
Romania,5.1,8.6,1,655,1,655,0,0,3,1995,92
Russia,137.3,16,31,21743,3,2650,8,9600,18,21600,3777
Slovakia,16.3,56,5,2064,0,0,2,840,0,0,299
Slovenia,5.6,42,1,696,0,0,0,0,1,1000,145
South Africa,12.2,5.5,2,1842,0,0,1,165,24,4000,332
Spain,54.7,20,8,7442,0,0,0,0,0,0,1473
Sweden,69.5,45,10,8975,0,0,0,0,0,0,1468
Switzerland,22.1,32,5,3220,0,0,0,0,0,0,575
Turkey,0,0,0,0,0,0,3,4500,0,0,0
Ukraine,83.3,49,15,13168,0,0,2,1900,0,0,2003
United Kingdom,75.2,20,19,10982,0,0,0,0,0,0,2021
USA,780.5,19,103,98254,1,1200,2,2716,21,24000,20050
Vietnam,0,0,0,0,0,0,0,0,2,2000,0
WORLD**,2626,16,435,368860,28,22735,64,68861,158,124225,66529
,billion kWh,% e,No.,MWe,No.,MWe,No.,MWe,No.,MWe,tonnes U
,NUCLEAR ELECTRICITY GENERATION 2005,NUCLEAR ELECTRICITY GENERATION 2005,REACTORS OPERATING,REACTORS OPERATING,REACTORS BUILDING,REACTORS BUILDING,ON ORDER or PLANNED,ON ORDER or PLANNED,PROPOSED,PROPOSED,URANIUM REQUIRED
